,Word_Index,Unique_Word,Idf_Score
226,0,absolut,7.215607598755275
970,1,absolutley,5.711530201979001
126,2,accid,7.215607598755275
553,3,accommod,5.200704578213011
1147,4,accomod,6.29931686688112
638,5,accordingli,5.711530201979001
931,6,account,7.215607598755275
877,7,ach,5.962844630259907
1017,8,acknowledg,6.29931686688112
968,9,across,6.810142490647111
413,10,actual,7.215607598755275
374,11,ad,7.215607598755275
1329,12,afford,7.215607598755275
389,13,afternoon,7.215607598755275
520,14,ago,7.215607598755275
34,15,ahead,7.215607598755275
1069,16,airlin,7.215607598755275
1292,17,airport,4.96431580014878
1529,18,ala,6.29931686688112
1440,19,albondiga,6.810142490647111
1452,20,allergi,7.215607598755275
985,21,almond,6.810142490647111
702,22,almost,6.810142490647111
75,23,alon,5.343805421853684
81,24,also,6.810142490647111
411,25,although,6.810142490647111
262,26,alway,7.215607598755275
80,27,amaz,7.215607598755275
443,28,ambianc,6.810142490647111
391,29,ambienc,7.215607598755275
235,30,amount,6.52246041819533
142,31,ampl,6.810142490647111
905,32,andddd,6.810142490647111
21,33,angri,7.215607598755275
671,34,annoy,6.52246041819533
377,35,anoth,7.215607598755275
1466,36,anticip,7.215607598755275
1448,37,anymor,7.215607598755275
906,38,anyon,7.215607598755275
1295,39,anyth,5.075541435259004
992,40,anytim,7.215607598755275
979,41,anyway,6.52246041819533
680,42,apart,5.711530201979001
1087,43,apolog,6.810142490647111
848,44,app,7.215607598755275
298,45,appal,7.215607598755275
269,46,appar,7.215607598755275
1414,47,appeal,6.52246041819533
253,48,appet,7.215607598755275
1559,49,appetit,6.52246041819533
1280,50,appl,5.711530201979001
1423,51,approv,6.116995310087166
535,52,area,7.215607598755275
1319,53,arepa,7.215607598755275
912,54,aria,4.650658241293739
112,55,around,7.215607598755275
1303,56,array,6.52246041819533
365,57,arriv,7.215607598755275
1396,58,articl,3.9197707327509463
96,59,ask,6.52246041819533
942,60,assur,7.215607598755275
477,61,ate,7.215607598755275
407,62,atmospher,7.215607598755275
788,63,atroci,7.215607598755275
1047,64,attach,7.215607598755275
223,65,attack,6.810142490647111
174,66,attent,6.810142490647111
213,67,attitud,6.810142490647111
1246,68,auju,6.52246041819533
837,69,authent,5.343805421853684
1206,70,averag,7.215607598755275
541,71,avocado,7.215607598755275
529,72,avoid,7.215607598755275
1392,73,aw,7.215607598755275
430,74,away,7.215607598755275
1049,75,awesom,6.29931686688112
971,76,awkward,7.215607598755275
1299,77,awkwardli,5.829313237635384
707,78,ayc,6.116995310087166
1013,79,az,7.215607598755275
1222,80,baba,7.215607598755275
1119,81,babi,6.810142490647111
761,82,bachi,7.215607598755275
44,83,back,7.215607598755275
537,84,bacon,6.29931686688112
186,85,bad,7.215607598755275
460,86,bagel,6.810142490647111
523,87,bakeri,6.116995310087166
1220,88,baklava,7.215607598755275
880,89,ball,6.810142490647111
479,90,bamboo,7.215607598755275
241,91,banana,7.215607598755275
11,92,bank,6.810142490647111
471,93,bar,6.810142490647111
1284,94,bare,5.711530201979001
661,95,bargain,6.52246041819533
390,96,bartend,6.52246041819533
712,97,base,6.810142490647111
845,98,basebal,7.215607598755275
800,99,basic,5.6061696863211745
1482,100,batch,7.215607598755275
487,101,bathroom,7.215607598755275
272,102,batter,6.810142490647111
503,103,bay,6.52246041819533
805,104,bbq,7.215607598755275
888,105,bean,7.215607598755275
383,106,beat,6.810142490647111
623,107,beateou,6.52246041819533
85,108,beauti,5.018383021419056
946,109,becom,7.215607598755275
188,110,beef,7.215607598755275
120,111,beer,6.810142490647111
1298,112,begin,6.810142490647111
179,113,behind,6.810142490647111
1121,114,believ,7.215607598755275
1465,115,bellagio,6.810142490647111
447,116,belli,5.4238481295272205
1428,117,besid,7.215607598755275
360,118,best,7.215607598755275
387,119,better,6.810142490647111
280,120,beyond,7.215607598755275
986,121,big,6.52246041819533
1551,122,bigger,7.215607598755275
1488,123,biggest,7.215607598755275
1029,124,bill,7.215607598755275
1523,125,bing,6.810142490647111
955,126,bird,7.215607598755275
969,127,biscuit,7.215607598755275
646,128,bisqu,6.810142490647111
414,129,bit,6.116995310087166
437,130,bitch,5.962844630259907
131,131,bite,6.29931686688112
818,132,black,6.52246041819533
78,133,blah,7.215607598755275
1531,134,blame,7.215607598755275
326,135,bland,7.215607598755275
417,136,blandest,6.52246041819533
481,137,blanket,7.215607598755275
1325,138,block,7.215607598755275
379,139,bloddi,7.215607598755275
1174,140,bloodi,5.018383021419056
1446,141,bloodiest,7.215607598755275
124,142,blow,6.52246041819533
1383,143,blown,5.018383021419056
1188,144,blue,7.215607598755275
753,145,boba,5.4238481295272205
655,146,bode,7.215607598755275
1035,147,boil,6.52246041819533
372,148,bone,5.6061696863211745
1214,149,book,3.4428466606606367
422,150,boot,7.215607598755275
784,151,bore,7.215607598755275
1335,152,bother,7.215607598755275
234,153,bottom,6.116995310087166
930,154,bouchon,7.215607598755275
1469,155,bought,7.215607598755275
601,156,bowl,7.215607598755275
783,157,box,7.215607598755275
799,158,boy,6.810142490647111
1108,159,boyfriend,6.116995310087166
586,160,bread,7.215607598755275
317,161,break,7.215607598755275
361,162,breakfast,7.215607598755275
1248,163,breez,5.962844630259907
846,164,brick,6.810142490647111
916,165,bring,7.215607598755275
1504,166,brisket,6.29931686688112
1362,167,brother,5.4238481295272205
94,168,brought,5.962844630259907
1545,169,brownish,4.507557397653065
612,170,brunch,6.29931686688112
1372,171,bruschetta,5.51085950651685
1554,172,brushfir,7.215607598755275
798,173,bu,7.215607598755275
737,174,buck,7.215607598755275
305,175,buffet,6.810142490647111
624,176,bug,6.810142490647111
703,177,build,5.6061696863211745
937,178,buldogi,7.215607598755275
1053,179,bunch,7.215607598755275
119,180,burger,5.075541435259004
763,181,burn,6.810142490647111
77,182,burritto,7.215607598755275
403,183,busi,6.810142490647111
647,184,bussel,6.52246041819533
587,185,butter,7.215607598755275
867,186,buy,5.075541435259004
362,187,bye,6.52246041819533
1398,188,caballero,6.52246041819533
1192,189,caesar,7.215607598755275
1156,190,caf,6.29931686688112
367,191,cafe,7.215607598755275
90,192,cake,7.215607598755275
1493,193,calamari,5.829313237635384
1055,194,call,7.215607598755275
1294,195,calligraphi,7.215607598755275
149,196,came,7.215607598755275
1024,197,camelback,7.215607598755275
1091,198,cannoli,7.215607598755275
382,199,cannot,7.215607598755275
747,200,cant,7.215607598755275
54,201,cape,7.215607598755275
464,202,caper,5.343805421853684
898,203,car,7.215607598755275
1524,204,carb,7.215607598755275
46,205,care,7.215607598755275
1015,206,carli,7.215607598755275
1104,207,carpaccio,6.810142490647111
1530,208,cart,7.215607598755275
1026,209,cartel,6.52246041819533
1348,210,case,5.269697449699962
68,211,cash,7.215607598755275
1510,212,cashew,7.215607598755275
45,213,cashier,7.215607598755275
357,214,casino,7.215607598755275
1558,215,caterpillar,7.215607598755275
557,216,caught,4.576550269140016
1541,217,caus,7.215607598755275
1039,218,cavier,7.215607598755275
995,219,certainli,7.215607598755275
1450,220,chai,7.215607598755275
1353,221,chain,7.215607598755275
490,222,chang,7.215607598755275
203,223,char,6.810142490647111
569,224,charcoal,7.215607598755275
733,225,charg,7.215607598755275
790,226,charm,6.52246041819533
1137,227,cheap,7.215607598755275
306,228,cheat,7.215607598755275
406,229,check,7.215607598755275
1173,230,cheek,7.215607598755275
462,231,chees,5.6061696863211745
676,232,cheeseburg,5.962844630259907
1075,233,cheesecurd,7.215607598755275
674,234,chef,7.215607598755275
274,235,chewi,6.52246041819533
57,236,chicken,6.116995310087166
1288,237,chines,5.6061696863211745
589,238,chip,7.215607598755275
1512,239,chipolt,7.215607598755275
842,240,chipotl,5.962844630259907
288,241,chocol,6.810142490647111
1094,242,choos,5.6061696863211745
1010,243,choux,7.215607598755275
210,244,chow,7.215607598755275
1485,245,christma,6.116995310087166
1261,246,cibo,6.29931686688112
